RBP,K-mer,RBNS,singleRBD
RBM4,6-mer,ENCFF891RFM,N
RBM4,7-mer,ENCFF108CRY,N
RBM4B,4-mer,ENCFF170CFD,N
RBM4B,5-mer,ENCFF324AVV,N
RBM4B,6-mer,ENCFF723LYO,N
RBM4B,7-mer,ENCFF604EQA,N
RBM5,4-mer,ENCFF961RUA,N
RBM5,5-mer,ENCFF989HJA,N
RBM5,6-mer,ENCFF341CEM,N
RBM5,7-mer,ENCFF357IXX,N
RBM6,4-mer,ENCFF150OOG,Y
RBM6,5-mer,ENCFF612PCY,Y
RBM6,6-mer,ENCFF793PCZ,Y
RBM6,7-mer,ENCFF191CTZ,Y
RBM15B,4-mer,ENCFF820ODU,N
RBM15B,5-mer,ENCFF635SCW,N
RBM15B,6-mer,ENCFF117RDG,N
RBM15B,7-mer,ENCFF915OWQ,N
RBM20,4-mer,ENCFF427CHX,N
RBM20,5-mer,ENCFF026ELB,N
RBM20,6-mer,ENCFF470QTH,N
RBM20,7-mer,ENCFF817DQA,N
RBM22,4-mer,ENCFF179SVM,Y
RBM22,5-mer,ENCFF688EDA,Y
RBM22,6-mer,ENCFF106RWF,Y
RBM22,7-mer,ENCFF581IOZ,Y
RBM23,4-mer,ENCFF529RME,N
RBM23,5-mer,ENCFF214NXF,N
RBM23,6-mer,ENCFF810PLU,N
RBM24,4-mer,ENCFF522SCZ,Y
RBM24,5-mer,ENCFF044NVM,Y
RBM24,6-mer,ENCFF168GEY,Y
RBM24,7-mer,ENCFF132AEB,Y
RBM25,4-mer,ENCFF485TKI,Y
RBM25,5-mer,ENCFF872SLK,Y
RBM25,6-mer,ENCFF170PGF,Y
RBM25,7-mer,ENCFF135TEV,Y
RBM41,4-mer,ENCFF388UFE,Y
RBM41,5-mer,ENCFF051YRS,Y
RBM41,6-mer,ENCFF139WJC,Y
RBM41,7-mer,ENCFF446PHG,Y
RBM45,4-mer,ENCFF275UGA,N
RBM45,5-mer,ENCFF311UQL,N
RBM45,6-mer,ENCFF453IBG,N
RBM45,7-mer,ENCFF782DRP,N
RBM47,4-mer,ENCFF639XVL,N
RBM47,5-mer,ENCFF953ZVW,N
RBM47,6-mer,ENCFF063VIP,N
RBM47,7-mer,ENCFF995ECH,N
RBMS2,4-mer,ENCFF198OFN,N
RBMS2,5-mer,ENCFF833TOX,N
RBMS2,6-mer,ENCFF729OVU,N
RBMS2,7-mer,ENCFF514HLE,N
RBMS3,4-mer,ENCFF491LXQ,N
RBMS3,5-mer,ENCFF615JNZ,N
RBMS3,6-mer,ENCFF560ONY,N
RBMS3,7-mer,ENCFF111GEB,N
RC3H1,4-mer,ENCFF140TLP,Y
RC3H1,5-mer,ENCFF661BCA,Y
RC3H1,6-mer,ENCFF792ROS,Y
RC3H1,7-mer,ENCFF083LIF,Y
SAFB2,4-mer,ENCFF913VDL,N
SAFB2,5-mer,ENCFF747KCB,N
SAFB2,6-mer,ENCFF866ZOH,N
SF1,4-mer,ENCFF045VHV,N
SF1,5-mer,ENCFF846RCG,N
SF1,6-mer,ENCFF408CLJ,N
SF1,7-mer,ENCFF753JLV,N
SF3B6,4-mer,ENCFF253ZGO,N
SF3B6,5-mer,ENCFF242MYG,N
SF3B6,6-mer,ENCFF611UYV,N
SF3B6,7-mer,ENCFF886ERU,N
SFPQ,4-mer,ENCFF234GJL,N
SFPQ,5-mer,ENCFF890ORL,N
SFPQ,6-mer,ENCFF494LLV,N
SFPQ,7-mer,ENCFF360OVB,N
SNRPA,4-mer,ENCFF349ZGB,N
SNRPA,5-mer,ENCFF090VNK,N
SNRPA,6-mer,ENCFF625QSH,N
SNRPA,7-mer,ENCFF890AXZ,N
SNRPB2,4-mer,ENCFF178EPQ,N
SNRPB2,5-mer,ENCFF095IHG,N
SNRPB2,6-mer,ENCFF631DIZ,N
SRSF2,4-mer,ENCFF257EQJ,Y
SRSF2,5-mer,ENCFF900EPD,Y
SRSF2,6-mer,ENCFF573MYB,Y
SRSF4,4-mer,ENCFF298ZWZ,N
SRSF4,5-mer,ENCFF185UAE,N
SRSF4,6-mer,ENCFF975KOB,N
SRSF4,7-mer,ENCFF166TCK,N
SRSF5,4-mer,ENCFF842OMI,N
SRSF5,5-mer,ENCFF762GOC,N
SRSF5,6-mer,ENCFF351IBT,N
SRSF8,4-mer,ENCFF504GWV,Y
SRSF8,5-mer,ENCFF860CDY,Y
SRSF8,6-mer,ENCFF455VOQ,Y
SRSF9,4-mer,ENCFF081SZX,N
SRSF9,5-mer,ENCFF518QQO,N
SRSF9,6-mer,ENCFF808FRG,N
SRSF9,7-mer,ENCFF131QFS,N
SRSF10,4-mer,ENCFF057FSE,Y
SRSF10,5-mer,ENCFF855MSY,Y
SRSF10,6-mer,ENCFF896LEJ,Y
SRSF11,4-mer,ENCFF431TKD,Y
SRSF11,5-mer,ENCFF621BGN,Y
SRSF11,6-mer,ENCFF820GEE,Y
SRSF11,7-mer,ENCFF260EGH,Y
SUCLG1,4-mer,ENCFF532AGU,N
SUCLG1,5-mer,ENCFF131HMZ,N
SUCLG1,6-mer,ENCFF779EOH,N
TAF15,4-mer,ENCFF632XWC,N
TAF15,5-mer,ENCFF194JNW,N
TAF15,6-mer,ENCFF796QEY,N
TARDBP,4-mer,ENCFF979SDN,Y
TARDBP,5-mer,ENCFF022PDN,Y
TARDBP,6-mer,ENCFF484TAR,Y
TARDBP,7-mer,ENCFF769CCM,Y
TDRD10,4-mer,ENCFF599TLF,N
TDRD10,5-mer,ENCFF437SJZ,N
TDRD10,6-mer,ENCFF866WKT,N
TDRD10,7-mer,ENCFF628ECY,N
TIA1,4-mer,ENCFF403RUI,N
TIA1,5-mer,ENCFF936GUV,N
TIA1,6-mer,ENCFF268DAL,N
TIA1,7-mer,ENCFF633HPI,N
TRA2A,4-mer,ENCFF879MFV,Y
TRA2A,5-mer,ENCFF191NLM,Y
TRA2A,6-mer,ENCFF351RRP,Y
TRA2A,7-mer,ENCFF971NRM,Y
TRA2B,4-mer,ENCFF087FIC,N
TRA2B,5-mer,ENCFF083WIC,N
TRA2B,6-mer,ENCFF804ETQ,N
TRNAU1AP,4-mer,ENCFF848YLS,N
TRNAU1AP,5-mer,ENCFF315DBD,N
TRNAU1AP,6-mer,ENCFF174NLG,N
TRNAU1AP,7-mer,ENCFF232FXD,N
TROVE2,4-mer,ENCFF009LID,N
TROVE2,5-mer,ENCFF265BIN,N
TROVE2,6-mer,ENCFF073URD,N
UNK,4-mer,ENCFF363RNZ,N
UNK,5-mer,ENCFF353YNE,N
UNK,6-mer,ENCFF325YQY,N
UNK,7-mer,ENCFF711ESU,N
XRCC6,4-mer,ENCFF681UBK,N
XRCC6,5-mer,ENCFF825PGJ,N
XRCC6,6-mer,ENCFF584TIL,N
ZC3H10,4-mer,ENCFF438VWX,N
ZC3H10,5-mer,ENCFF289GIJ,N
ZC3H10,6-mer,ENCFF807IMZ,N
ZC3H18,4-mer,ENCFF643LAA,N
ZC3H18,5-mer,ENCFF948LZZ,N
ZC3H18,6-mer,ENCFF223GDG,N
ZC3H18,7-mer,ENCFF284WWS,N
ZCRB1,4-mer,ENCFF577HCJ,N
ZCRB1,5-mer,ENCFF113HZK,N
ZCRB1,6-mer,ENCFF121DTB,N
ZCRB1,7-mer,ENCFF241MOO,N
ZFP36,4-mer,ENCFF735TCL,N
ZFP36,5-mer,ENCFF170BKQ,N
ZFP36,6-mer,ENCFF522CPG,N
ZFP36,7-mer,ENCFF193EMA,N
ZFP36L1,4-mer,ENCFF525ZWW,N
ZFP36L1,5-mer,ENCFF518BOX,N
ZFP36L1,6-mer,ENCFF152EYR,N
ZFP36L1,7-mer,ENCFF063FIR,N
ZFP36L2,4-mer,ENCFF510XIS,N
ZFP36L2,5-mer,ENCFF694JSN,N
ZFP36L2,6-mer,ENCFF511LJA,N
ZFP36L2,7-mer,ENCFF472AJZ,N
ZNF326,4-mer,ENCFF139RKR,N
ZNF326,5-mer,ENCFF982MXY,N
ZNF326,6-mer,ENCFF891JJG,N
ZNF326,7-mer,ENCFF425QVN,N
ZRANB2,4-mer,ENCFF985YKH,N
ZRANB2,5-mer,ENCFF810PMV,N
ZRANB2,6-mer,ENCFF346EHH,N
